@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,
@-header,compilationTime_!_ 2017:09:08:15:20:01,,,,,,,,,,,
@-header,columnCount_!_ 13,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,
@-header,courseId_!_ 39,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Nursing (In-Service),,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,
@-header,semester_!_ 2,,,,,,,,,,,
@-header,batchId_!_ 6,,,,,,,,,,,
@-header,batchName_!_ 2014/2015,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,79,80,81,83,608,609
Ref,GPA,Reg Number,Flags,Details,res,Anatomy,Physiology,Parasitology,Microbiology,Pharmacology,Biochemistry
867,,TUMA/KCMUCo/BSC.N/2015/2016/0666,65,,,54,61,67,63,86,63
808,,TUMA/KCMUCo/BSC.N/2015/2016/0667,65,,,62,63,68,63,86,71
760,,TUMA/KCMUCo/BSC.N/2015/2016/0694,65,,,55,71,75,54,69,61
829,,TUMA/KCMUCo/BSC.N/2015/2016/0711,65,,,64,52,65,63,84,67
795,,TUMA/KCMUCo/BSC.N/2015/2016/0712,67,,,48,54,57,52,55,58
887,,TUMA/KCMUCo/BSC.N/2015/2016/0713,65,,,56,64,65,69,85,73
813,,TUMA/KCMUCo/BSC.N/2015/2016/0714,9,,,67,64,65,61,85,69
843,,TUMA/KCMUCo/BSC.N/2015/2016/0715,9,,,58,64,70,63,85,80
846,,TUMA/KCMUCo/BSC.N/2015/2016/0716,67,,,47,65,74,61,81,61
866,,TUMA/KCMUCo/BSC.N/2015/2016/0717,9,,,50,66,73,69,83,73
942,,TUMA/KCMUCo/BSC.N/2015/2016/0718,11,,,63,42,69,69,83,70
835,,TUMA/KCMUCo/BSC.N/2015/2016/0720,9,,,56,60,60,53,74,66
823,,TUMA/KCMUCo/BSC.N/2015/2016/0722,65,,,67,70,78,72,84,67
898,,TUMA/KCMUCo/BSC.N/2015/2016/0725,9,,,61,62,76,61,79,62
805,,TUMA/KCMUCo/BSC.N/2015/2016/0729,11,,,47,78,62,55,78,67
837,,TUMA/KCMUCo/BSC.N/2015/2016/0732,11,,,48,56,63,54,78,58
903,,TUMA/KCMUCo/BSC.N/2015/2016/0733,11,,,68,52,58,43,58,69
947,,TUMA/KCMUCo/BSC.N/2015/2016/0739,9,,,55,59,61,55,74,57
789,,TUMA/KCMUCo/BSC.N/2015/2016/0752,9,,,51,55,63,55,73,68
349,,TUMA/KCMUCo/BSC.N/2015/2016/0754,13,,,71,67,68,70,90,71
917,,TUMA/KCMUCo/BSC.N/2015/2016/0787,65,,,76,60,76,71,90,74
832,,TUMA/KCMUCo/BSC.N/2015/2016/0803,67,,,66,48,74,57,78,63
812,,TUMA/KCMUCo/BSC.N/2015/2016/0810,9,,,57,87,69,64,83,72
857,,TUMA/KCMUCo/BSC.N/2015/2016/0812,9,,,62,50,68,58,70,59
913,,TUMA/KCMUCo/BSC.N/2015/2016/0818,65,,,63,59,54,63,82,65
828,,TUMA/KCMUCo/BSC.N/2015/2016/0823,65,,,56,69,67,59,84,83
