@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,
@-header,fileType_!_ results,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,
@-header,courseId_!_ 6,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Nursing (Pre-Service),,,,,,,,
@-header,year_!_ 4,,,,,,,,
@-header,semester_!_ 1,,,,,,,,
@-header,batchId_!_ 6,,,,,,,,
@-header,batchName_!_ 2014/2015,,,,,,,,
@-header,flags_!_ 0,,,,,,,,
@-header,compilationTime_!_ 2018:05:28:12:01:49,,,,,,,,
@-header,columnCount_!_ 10,,,,,,,,
,,,,,,,,,
,,,,,,973,974,596,1030
Ref,GPA,Reg Number,Flags,Details,res,Community Health Nursing,Mental Health and Psychiatric Nursing,Midwifery,Midwifery Practical
781,,TUMA/KCMUCo/BSC.N/2015/2016/0628,65,,,59.1,66,60,68
765,,TUMA/KCMUCo/BSC.N/2015/2016/0659,65,,,65,88,85,65
876,,TUMA/KCMUCo/BSC.N/2015/2016/0661,65,,,76.4,76.5,53,61
708,,TUMA/KCMUCo/BSC.N/2015/2016/0669,9,,,60,73.5,52,65
894,,TUMA/KCMUCo/BSC.N/2015/2016/0673,67,,,47.3,63,49,52
923,,TUMA/KCMUCo/BSC.N/2015/2016/0681,9,,,67.3,70.5,68,65
861,,TUMA/KCMUCo/BSC.N/2015/2016/0682,9,,,71,83.5,69,77
911,,TUMA/KCMUCo/BSC.N/2015/2016/0688,67,,,63,81,70,37
879,,TUMA/KCMUCo/BSC.N/2015/2016/0689,65,,,65,71.5,52,76
855,,TUMA/KCMUCo/BSC.N/2015/2016/0691,65,,,69.1,85,78,84
864,,TUMA/KCMUCo/BSC.N/2015/2016/0693,65,,,76,82,72,76
936,,TUMA/KCMUCo/BSC.N/2015/2016/0697,9,,,57.3,80,68,61
743,,TUMA/KCMUCo/BSC.N/2015/2016/0698,9,,,70,78.5,79,70
944,,TUMA/KCMUCo/BSC.N/2015/2016/0699,9,,,63,86,67,69
862,,TUMA/KCMUCo/BSC.N/2015/2016/0719,65,,,67.3,86.5,56,57
845,,TUMA/KCMUCo/BSC.N/2015/2016/0721,9,,,67.3,81.5,83,64
927,,TUMA/KCMUCo/BSC.N/2015/2016/0723,11,,,49.1,69.5,81,74
735,,TUMA/KCMUCo/BSC.N/2015/2016/0724,9,,,56,83.5,82,87
799,,TUMA/KCMUCo/BSC.N/2015/2016/0727,65,,,60,80,63,65
948,,TUMA/KCMUCo/BSC.N/2015/2016/0736,67,,,0,0,0,0
726,,TUMA/KCMUCo/BSC.N/2015/2016/0746,65,,,51,82.5,69,72
875,,TUMA/KCMUCo/BSC.N/2015/2016/0748,65,,,56.4,89.5,86,76
737,,TUMA/KCMUCo/BSC.N/2015/2016/0749,67,,,39.1,77,67,53
842,,TUMA/KCMUCo/BSC.N/2015/2016/0750,9,,,61.4,86,59,63
884,,TUMA/KCMUCo/BSC.N/2015/2016/0753,11,,,50,48,46,57
915,,TUMA/KCMUCo/BSC.N/2015/2016/0755,9,,,66.4,92.5,82,84
847,,TUMA/KCMUCo/BSC.N/2015/2016/0756,9,,,72,84,55,53
899,,TUMA/KCMUCo/BSC.N/2015/2016/0757,65,,,63,61,50,78
890,,TUMA/KCMUCo/BSC.N/2015/2016/0759,9,,,58.2,83.5,54,69
715,,TUMA/KCMUCo/BSC.N/2015/2016/0760,65,,,66,78,60,79
886,,TUMA/KCMUCo/BSC.N/2015/2016/0761,65,,,62,66,57,76
764,,TUMA/KCMUCo/BSC.N/2015/2016/0768,9,,,59.1,81.5,55,86
941,,TUMA/KCMUCo/BSC.N/2015/2016/0770,9,,,66,83,66,50
758,,TUMA/KCMUCo/BSC.N/2015/2016/0771,9,,,64,75.5,76,62
818,,TUMA/KCMUCo/BSC.N/2015/2016/0786,67,,,45,57,46,63
893,,TUMA/KCMUCo/BSC.N/2015/2016/0789,9,,,70,80,76,56
778,,TUMA/KCMUCo/BSC.N/2015/2016/0791,65,,,72,89.5,75,76
859,,TUMA/KCMUCo/BSC.N/2015/2016/0801,9,,,56,85.5,75,77
901,,TUMA/KCMUCo/BSC.N/2015/2016/0802,9,,,68.2,88,86,69
940,,TUMA/KCMUCo/BSC.N/2015/2016/0804,9,,,68.2,83.5,77,75
892,,TUMA/KCMUCo/BSC.N/2015/2016/0805,65,,,61,82,71,72
912,,TUMA/KCMUCo/BSC.N/2015/2016/0813,65,,,54,80,87,53
909,,TUMA/KCMUCo/BSC.N/2015/2016/0819,65,,,69.4,76.5,62,83
733,,TUMA/KCMUCo/BSC.N/2015/2016/0822,11,,,78.2,76.5,67,37
863,,TUMA/KCMUCo/BSC.N/2016/2017/0826,9,,,71,80.5,70,60
922,,TUMA/KCMUCo/BSC.N/2016/2017/0827,11,,,48.2,79,42,45
798,,TUMA/KCMUCo/BSC.N/2016/2017/0828,67,,,43.6,71,58,68
